DATE,GDP_PCH
1996-01-01,1.23359
1996-04-01,2.08900
1996-07-01,1.22706
1996-10-01,1.57861
1997-01-01,1.24560
1997-04-01,1.86747
1997-07-01,1.69035
1997-10-01,1.18996
1998-01-01,1.14732
1998-04-01,1.16415
1998-07-01,1.68788
1998-10-01,1.89554
1999-01-01,1.26631
1999-04-01,1.21687
1999-07-01,1.68394
1999-10-01,2.20451
2000-01-01,1.03039
2000-04-01,2.45488
2000-07-01,0.68742
2000-10-01,1.13953
2001-01-01,0.33047
2001-04-01,1.22986
2001-07-01,-0.00925
2001-10-01,0.58921
2002-01-01,1.15412
2002-04-01,0.96407
2002-07-01,0.88708
2002-10-01,0.70460
2003-01-01,1.01882
